apogee,t_final,max_speed,x_impact,y_impact,inclination,heading
2488.1462249393344,153.5901927601902,220.42264912918645,740.657351209579,-232.67406298752522,84.47920634157002,107.44002536659409
2490.465447011149,154.0457459548742,220.40575220684127,-188.54953160472664,716.620961146028,84.72884824672474,345.2584495239904
2460.031294696852,153.87714975941068,220.61944549836485,-1087.722365672318,-216.83777437417453,82.04451843514532,258.7242938989163
2497.4319023465005,153.77609490559485,220.3586654796603,-437.50832333032946,443.7394422855144,85.55812133548635,315.4038808400248
2486.360121515592,153.99914520200872,220.43575204251442,611.3857923260914,519.3380530287269,84.293444530012,49.65392980642408
2501.342437764004,153.7594920710905,220.3311599135064,-187.78241726889956,-512.0300586078797,86.09921012868345,200.13881941203422
2481.4319142899003,154.10553434383525,220.46696347672048,-672.3004751385348,549.8875086824725,83.81622237292162,309.2803730292125
2469.55426018308,153.66797733553895,220.54941562278475,485.9958846405027,885.969331986765,82.78081371246904,28.747347730085245
2471.2897534328185,153.9507809269209,220.53773636217647,740.1725937985195,-660.0036748192839,82.91837346987387,131.72349340253302
2491.3986404761527,153.5722790635189,220.39649069664938,91.88490899015609,-720.1668689370589,84.83593342143703,172.7291459545152
2486.364783088506,153.7493473434749,220.4328882790038,430.72011153531315,676.8508327538791,84.29387977750676,32.47207053898775
2490.5348424274052,154.04180205232188,220.40402819277259,371.4030031941994,640.1076436307981,84.73538999219386,30.123231484729203
2479.240725611351,153.87377880532074,220.48496465864628,-883.1599203745774,157.4073499561752,83.61053316528984,280.1058892220267
2487.689201312302,153.6845572711438,220.4252013458465,95.08866070753967,777.0142988116465,84.43279841242472,6.977126482492624
2506.918995928466,154.18213831433192,220.29130086162263,-263.3602313786657,311.19288892007273,87.04983145856612,319.7571516343586
2498.8622322606716,154.0697422087468,220.35055427511716,-531.1967481835621,-269.5257895628747,85.74895734509202,243.0951247294422
2509.8632325750104,154.39673256455148,220.27385847095286,252.79352023910425,-185.41400911526688,87.69577443233695,126.25954870174026
2496.800495220089,153.99073485863977,220.36136492340862,-597.3138340120038,214.30122466786338,85.47755161446253,289.73602897631673
2504.833030808393,154.11101679877936,220.29978801156324,464.4289609642459,10.800427765060173,86.6578450949131,88.67136783923524
2466.4868751120944,153.74099186527565,220.5743917331785,235.65180319729023,-1016.6618156335405,82.53514917384267,166.94990929011914
2507.0433375921593,154.0321811885663,220.2866152382724,-397.755764412637,-72.55335230912122,87.07299911003277,259.6601359898882
2494.4876142621915,153.93101993480244,220.37710811686046,172.68620439154571,-652.5944624795505,85.19393280530028,165.17891460292077
2490.542302999342,154.03208924373553,220.40662856124118,109.12983918391222,731.7244205738601,84.73701386825061,8.48260088846164
2502.1923515071057,154.128789888119,220.32681037732573,323.27958585317805,-415.51195578505985,86.2295301161334,142.1185603265052
2480.2653098323494,153.680919630977,220.46785828524472,-642.4749892432561,-607.0404965285945,83.70690940025818,226.62426252533012
2488.14159100568,154.18876967533612,220.41861368887527,704.8208483772191,-325.970139576953,84.47571456327873,114.82213389884319
2473.3276906714373,153.79636863464617,220.52461756094672,-556.2589819538113,-792.4913172641694,83.09164695446364,215.0655415639535
2484.863115982764,153.70381082213103,220.44457629681634,-659.1611646040441,-492.67787383211805,84.14591079820242,233.22370215741068
2510.6731778949447,154.61192432234168,220.264227433622,127.10758343944428,-251.24641588419442,87.91427592383623,153.1656174580097
2472.0726095186483,153.66302914089542,220.53531244431204,-770.5498326199448,-610.9788999199767,82.98098541081383,231.5879352647562
2478.5342439710284,153.941641069565,220.48933014085097,-439.7454722500588,-792.5227196899247,83.5430404365002,209.02388121277667
2475.2946318008517,154.19320668689448,220.51332965560897,-821.419869179615,467.3788654978819,83.25968335072224,299.63930503061914
2503.577265146465,154.0886288290318,220.31648561333432,493.3291639516494,-43.92849678312242,86.44577529800365,95.09205977323215
2503.3782780690417,153.89314233220227,220.3175568423075,445.58756447958336,-225.23880317120438,86.41829069174021,116.8178273737507
2487.596580900457,153.70004632519465,220.4240434686769,-696.3157059844027,360.55211569187105,84.423391383578,297.3724497317365
2490.9789017130324,153.98375634297543,220.40471154815845,728.9848568409108,77.51159693693441,84.78481862735246,83.9329356837168
2475.4015782047404,153.95318511594698,220.51159784983753,-534.5491480235472,778.2439719511973,83.26753612431685,325.51594296482926
2481.9285483546305,153.72817780608523,220.46532383494565,-197.99835784983293,839.624275133459,83.8602454971776,346.73096450026287
2498.8669097124584,153.80472729795775,220.34725970922418,-130.85501382767717,580.4705542697922,85.75410040982561,347.2956905229929
2492.923227209871,153.9904346665313,220.39197254654596,-639.9307756851251,288.6409215067952,85.00440400040534,294.2772913807466
2504.9472274793948,153.93728673116274,220.30583896408547,-428.8737647783874,167.8963767265775,86.68577766836482,291.3776582594294
2509.590982233678,154.40114500064988,220.26820764170242,73.24868234601763,314.78890097080443,87.62937917641317,13.099318254456552
2509.6502438111643,154.57041076436315,220.27057037352432,297.28760138776596,120.5829222757351,87.64549270008389,67.92472082839699
2486.5882098085385,154.10609170948845,220.4307986204974,630.7588918031923,491.1548040978048,84.31290615522872,52.094369062721576
2490.898306598313,153.93974117477478,220.40400873661667,437.4964634769199,590.8058827120431,84.77072019142564,36.52171986269067
2503.5435129155276,154.32834442305366,220.31360784351784,208.04892240984393,448.83016959652986,86.44918187509519,24.86935944385873
2500.3158924602976,153.85421916356026,220.33881160807508,-408.9022254259177,392.77753567513537,85.94923953051705,313.84729432325935
2511.8010192865972,154.47221881915235,220.25902373015768,103.65659034537066,208.1015804286074,88.25125411840891,26.478792835860403
2491.1378842346194,154.02598795437473,220.40248027810122,-0.9747383736488432,-730.5599549805788,84.80253021412285,180.076444394963
2482.212172267357,154.11415339020562,220.46155140704684,-270.3185982723446,815.3554314946938,83.88532286472527,341.65774647597976
2495.464103675586,153.84270837414925,220.36702370306438,505.5262073661597,-421.5838778668664,85.31219407198039,129.8269067996343
2507.652607647976,153.99573126084374,220.2882659780419,-385.727961364177,20.650038293452248,87.19696322364885,273.0622562153728
2502.9946115970474,153.89855285953251,220.31502211141614,445.4490678392829,245.26014890087865,86.35471027886423,61.16624649725024
2490.5537004711564,153.76383527155826,220.40059108120738,-672.5714478647092,309.685895872377,84.73369443801066,294.7233055621373
2458.1858922734937,154.36171651681494,220.63039722890755,-809.6047927885967,784.1248267095439,81.90702582922339,314.08455041269957
2492.4667668390266,153.5141243183377,220.38903275510108,-184.76128874607244,684.9688914166862,84.95342936315407,344.9039639676926
